College Name,Branch,Parent Branch,STATE,Campus,CLOSING,proximity,Placement ,priority_Placment,Coding_Culture,Priority_CC,Cultural_Activity,Priority_CA,Higher Education,priority_Higher_Edu,Brand_Value,Priority_BV,Entrepreneurship_Culture,Priority_ECell,Total,CLOSING
IIT BHUBANESHWAR,MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Odisha,75,15792,,18,,70,,60,,70,,70,,70,,,15792
IIT BOMBAY,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Maharashtra,100,67,,138,,300,,100,,100,,100,,100,,,67
IIT BOMBAY,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Maharashtra,100,481,,100,,200,,100,,100,,100,,100,,,481
IIT BOMBAY,CIVIL ENGINEERING,CIVIL ENGINEERING,Maharashtra,100,4371,,63,,200,,100,,100,,100,,100,,,4371
IIT BOMBAY,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Maharashtra,100,1736,,60,,200,,100,,100,,100,,100,,,1736
IIT BOMBAY,AEROSPACE ENGINEERING,MECHANICAL ENGINEERING,Maharashtra,100,2694,,53,,200,,100,,100,,100,,100,,,2694
IIT BOMBAY,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Maharashtra,100,2824,,53,,200,,100,,100,,100,,100,,,2824
IIT BOMBAY,ECONOMICS,ECONOMICS,Maharashtra,100,2102,,53,,200,,100,,100,,100,,100,,,2102
IIT BOMBAY,ENGINEERING PHYSICS ,BASIC SCIENCES,Maharashtra,100,1749,,53,,200,,100,,100,,100,,100,,,1749
IIT BOMBAY,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Maharashtra,100,4649,,50,,200,,100,,100,,100,,100,,,4649
IIT DHANBAD,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Jharkhand,75,3258,,70,,134,,70,,80,,80,,80,,,3258
IIT DHANBAD,ELECTRONICS & COMMUNICATION ENGG.,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,Jharkhand,75,5821,,56,,134,,70,,80,,80,,80,,,5821
IIT DHANBAD,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Jharkhand,75,7784,,52,,134,,70,,80,,80,,80,,,7784
IIT DHANBAD,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Jharkhand,75,10262,,46,,134,,70,,80,,80,,80,,,10262
IIT DHANBAD,ENGINEERING PHYSICS,BASIC SCIENCES,Jharkhand,75,11979,,42,,134,,70,,80,,80,,80,,,11979
IIT DHANBAD,ENVIRONMENTAL ENGINEERING,ENVIRONMENTAL ENGINEERING,Jharkhand,75,15903,,41,,134,,70,,80,,80,,80,,,15903
IIT DHANBAD,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Jharkhand,75,12473,,33,,134,,70,,80,,80,,80,,,12473
IIT DHANBAD,MINING ENGINEERING,MINING ENGINEERING,Jharkhand,75,15689,,33,,134,,70,,80,,80,,80,,,15689
IIT DHANBAD,MINERAL AND METALLURGICAL ENGINEERING,METALLURGICAL ENGINEERING,Jharkhand,75,15373,,31,,134,,70,,80,,80,,80,,,15373
IIT DHANBAD,CIVIL ENGINEERING,MECHANICAL ENGINEERING,Jharkhand,75,14058,,29,,134,,70,,80,,80,,80,,,14058
IIT DHARWAD,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Karnataka,70,5978,,48,,35,,60,,70,,70,,70,,,5978
IIT DHARWAD,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Karnataka,60,10267,,33,,35,,60,,70,,70,,70,,,10267
IIT DHARWAD,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Karnataka,60,14010,,24,,35,,60,,70,,70,,70,,,14010
IIT GANDHINAGAR,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Gujarat,75,1555,,73,,43,,60,,70,,70,,70,,,1555
IIT GANDHINAGAR,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Gujarat,75,4803,,45,,43,,60,,70,,70,,70,,,4803
IIT GANDHINAGAR,CIVIL ENGINEERING,MECHANICAL ENGINEERING,Gujarat,75,11422,,42,,43,,60,,70,,70,,70,,,11422
IIT GANDHINAGAR,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Gujarat,75,9651,,37,,43,,60,,70,,70,,70,,,9651
IIT GANDHINAGAR,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Gujarat,75,7278,,36,,43,,60,,70,,70,,70,,,7278
IIT GANDHINAGAR,ARTIFICAL INTELLIGENCE,COMPUTER SCIENCE AND ENGINEERING,,75,2373,,73,,43,,60,,70,,70,,70,,,
IIT GANDHINAGAR,COMPUTER SCIENCE AND ENGINEERING (DUAL),COMPUTER SCIENCE AND ENGINEERING,,75,2110,,73,,43,,60,,70,,70,,70,,,
IIT GANDHINAGAR,ELECTRICAL ENGINEERING (DUAL),ELECTRICAL ENGINEERING,,75,4803,,45,,43,,60,,70,,70,,70,,,
IIT GANDHINAGAR,MECHANICAL ENGINEERING (DUAL),MECHANICAL ENGINEERING,,75,8341,,35,,43,,60,,70,,70,,70,,,
IIT GANDHINAGAR,MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Gujarat,75,12299,,34,,43,,60,,70,,70,,70,,,12299
IIT GOA,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Goa,60,4232,,53,,30,,60,,70,,70,,70,,,4232
IIT GOA,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Goa,60,8909,,43,,30,,60,,70,,70,,70,,,8909
IIT GOA,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Goa,60,13483,,38,,30,,60,,70,,70,,70,,,13483
IIT GOA,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE & ENGINEERING,Goa,60,6568,,33,,30,,60,,70,,70,,70,,,6568
IIT GUWAHATI,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Assam,80,654,,92,,228,,75,,85,,85,,85,,,654
IIT GUWAHATI,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE AND ENGINEERING,Assam,80,1124,,79,,228,,75,,85,,85,,85,,,1124
IIT GUWAHATI,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,Assam,80,1698,,75,,228,,75,,85,,85,,85,,,1698
IIT GUWAHATI,ELECTRICAL AND ELECTRONIC ENGINEERING,ELECTRICAL ENGINEERING,Assam,80,2117,,64,,228,,75,,85,,85,,85,,,2117
IIT GUWAHATI,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Assam,80,5959,,54,,228,,75,,85,,85,,85,,,5959
IIT GUWAHATI,CIVIL ENGINEERING,CIVIL ENGINEERING,Assam,80,8453,,54,,228,,75,,85,,85,,85,,,8453
IIT GUWAHATI,ENGINEERING PHYSICS ,BASIC SCIENCES,Assam,80,6423,,53,,228,,75,,85,,85,,85,,,6423
IIT GUWAHATI,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Assam,80,4754,,51,,228,,75,,85,,85,,85,,,4754
IIT GUWAHATI,BIOTECHNOLOGY ,BIOTECHNOLOGY ,Assam,80,10455,,50,,228,,75,,85,,85,,85,,,10455
IIT HYDERABAD,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Telangana,70,674,,81,,108,,60,,80,,80,,80,,,674
IIT HYDERABAD,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE AND ENGINEERING,Telangana,70,1098,,75,,108,,60,,80,,80,,80,,,1098
IIT HYDERABAD,BIOMEDICAL,BIOTECHNOLOGY ,Telangana,70,1098,,42,,108,,60,,80,,80,,80,,,1098
IIT HYDERABAD,BIOTECHNOLOGY AND BIOINFORMATICS,BIOTECHNOLOGY ,Telangana,70,1098,,42,,108,,60,,80,,80,,80,,,1098
IIT HYDERABAD,ARTIFICAL INTELLIGENCE,COMPUTER SCIENCE AND ENGINEERING,Telangana,70,1098,,75,,108,,60,,80,,80,,80,,,
IIT HYDERABAD,ELECTRICAL ENGINEERING (IC DESIGN AND TECHNOLOGY),ELECTRICAL ENGINEERING,Telangana,70,2310,,71,,108,,60,,80,,80,,80,,,2310
IIT HYDERABAD,INDUSTRIAL CHEMISTRY,MECHANICAL ENGINEERING,Telangana,70,4976,,49,,108,,60,,80,,80,,80,,,4976
IIT HYDERABAD,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Telangana,70,2310,,71,,108,,60,,80,,80,,80,,,2310
IIT HYDERABAD,ENGINEERING SCIENCE,BASIC SCIENCES,Telangana,70,4079,,68,,108,,60,,80,,80,,80,,,4079
IIT HYDERABAD,ENGINEERING PHYSICS ,BASIC SCIENCES,Telangana,70,5537,,63,,108,,60,,80,,80,,80,,,5537
IIT HYDERABAD,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Telangana,70,9785,,53,,108,,60,,80,,80,,80,,,9785
IIT HYDERABAD,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Telangana,70,4976,,49,,108,,60,,80,,80,,80,,,4976
IIT HYDERABAD,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Telangana,70,7123,,47,,108,,60,,80,,80,,80,,,7123
IIT HYDERABAD,CIVIL ENGINEERING,CIVIL ENGINEERING,Telangana,70,9303,,39,,108,,60,,80,,80,,80,,,9303
IIT INDORE,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Madhya Pradesh,75,1385,,77,,240,,60,,80,,80,,80,,,1385
IIT INDORE,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE AND ENGINEERING,Madhya Pradesh,75,2209,,77,,240,,60,,80,,80,,80,,,
IIT INDORE,ENGINEERING PHYSICS ,BASIC SCIENCES,Madhya Pradesh,75,8205,,48,,240,,60,,80,,80,,80,,,
IIT INDORE,SPACE SCIENCES,BASIC SCIENCES,Madhya Pradesh,75,7801,,52,,240,,60,,80,,80,,80,,,
IIT INDORE,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Madhya Pradesh,75,9658,,55,,240,,60,,80,,80,,80,,,
IIT INDORE,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Madhya Pradesh,75,3632,,65,,240,,60,,80,,80,,80,,,3632
IIT INDORE,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Madhya Pradesh,75,7474,,55,,240,,60,,80,,80,,80,,,7474
IIT INDORE,CIVIL ENGINEERING,CIVIL ENGINEERING,Madhya Pradesh,75,10994,,48,,240,,60,,80,,80,,80,,,10994
IIT INDORE,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL  ENGINEERING,Madhya Pradesh,75,12217,,46,,240,,60,,80,,80,,80,,,12217
IIT JAMMU,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Jammu and Kashmir,75,4856,,58,,39,,60,,70,,70,,70,,,4856
IIT JAMMU,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE AND ENGINEERING,Jammu and Kashmir,75,7825,,58,,39,,60,,70,,70,,70,,,
IIT JAMMU,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL  ENGINEERING,Jammu and Kashmir,75,17296,,58,,39,,60,,70,,70,,70,,,
IIT JAMMU,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Jammu and Kashmir,75,9821,,47,,39,,60,,70,,70,,70,,,9821
IIT JAMMU,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Jammu and Kashmir,75,16433,,42,,39,,60,,70,,70,,70,,,16433
IIT JAMMU,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Jammu and Kashmir,75,14589,,38,,39,,60,,70,,70,,70,,,14589
IIT JAMMU,CIVIL ENGINEERING,CIVIL ENGINEERING,Jammu and Kashmir,75,16786,,30,,39,,60,,70,,70,,70,,,16786
IIT JODHPUR,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Rajasthan,70,2408,,70,,80,,60,,70,,70,,70,,,2408
IIT JODHPUR,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Rajasthan,70,6898,,50,,80,,60,,70,,70,,70,,,6898
IIT JODHPUR,CIVIL ENGINEERING,CIVIL ENGINEERING,Rajasthan,70,14476,,33,,80,,60,,70,,70,,70,,,14476
IIT JODHPUR,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Rajasthan,70,10318,,30,,80,,60,,70,,70,,70,,,10318
IIT JODHPUR,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Rajasthan,70,12820,,30,,80,,60,,70,,70,,70,,,
IIT JODHPUR,BIO ENGINEERING,BIOTECHNOLOGY ,Rajasthan,70,16453,,33,,80,,60,,70,,70,,70,,,14476
IIT JODHPUR,ARTIFICAL INTELLIGENCE,COMPUTER SCIENCE & ENGINEERING,Rajasthan,70,3350,,70,,80,,60,,70,,70,,70,,,14476
IIT JODHPUR,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL  ENGINEERING,Rajasthan,70,15643,,33,,80,,60,,70,,70,,70,,,14476
IIT JODHPUR,PHYSICS,BASIC SCIENCES,Rajasthan,70,15801,,33,,80,,60,,70,,70,,70,,,14476
IIT JODHPUR,CHEMISTRY,BASIC SCIENCES,Rajasthan,70,17525,,33,,80,,60,,70,,70,,70,,,14476
IIT KANPUR,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Uttar Pradesh,85,238,,143,,230,,80,,100,,100,,100,,,238
IIT KANPUR,MATHEMATICS ,BASIC SCIENCES,Uttar Pradesh,85,1060,,115,,230,,80,,100,,100,,100,,,1060
IIT KANPUR,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Uttar Pradesh,85,1349,,78,,230,,80,,100,,100,,100,,,1349
IIT KANPUR,BIOTECHNOLOGY ,BIOTECHNOLOGY ,Uttar Pradesh,85,8031,,58,,230,,80,,100,,100,,100,,,8031
IIT KANPUR,AEROSPACE ENGINEERING,MECHANICAL ENGINEERING,Uttar Pradesh,85,4027,,55,,230,,80,,100,,100,,100,,,4027
IIT KANPUR,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Uttar Pradesh,85,2940,,55,,230,,80,,100,,100,,100,,,2940
IIT KANPUR,CIVIL ENGINEERING,CIVIL ENGINEERING,Uttar Pradesh,85,6116,,53,,230,,80,,100,,100,,100,,,6116
IIT KANPUR,EARTH SCIENCE,BASIC SCIENCES,Uttar Pradesh,85,11426,,50,,230,,80,,100,,100,,100,,,11426
IIT KANPUR,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Uttar Pradesh,85,6939,,50,,230,,80,,100,,100,,100,,,6939
IIT KANPUR,CHEMISTRY,BASIC SCIENCES,Uttar Pradesh,85,11824,,48,,230,,80,,100,,100,,100,,,11824
IIT KANPUR,ECONOMICS,ECONOMICS,Uttar Pradesh,85,3653,,48,,230,,80,,100,,100,,100,,,3653
IIT KANPUR,PHYSICS ,BASIC SCIENCES,Uttar Pradesh,85,6153,,33,,230,,80,,100,,100,,100,,,6153
IIT Kharagpur,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,West Bengal,80,279,,108,,151,,90,,90,,90,,90,,,279
IIT Kharagpur,MATHEMATICS ,BASIC SCIENCES,West Bengal,80,1416,,98,,151,,90,,90,,90,,90,,,1416
IIT Kharagpur,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,West Bengal,80,1205,,72,,151,,90,,90,,90,,90,,,1205
IIT Kharagpur,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,West Bengal,80,1833,,63,,151,,90,,90,,90,,90,,,1833
IIT Kharagpur,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,3294,,56,,151,,90,,90,,90,,90,,,3294
IIT Kharagpur,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,4944,,54,,151,,90,,90,,90,,90,,,4944
IIT Kharagpur,GEOLOGY & GEOPHYSICS ,BASIC SCIENCES,West Bengal,80,12385,,54,,151,,90,,90,,90,,90,,,12385
IIT Kharagpur,MINING ENGINEERING,METALLURGICAL ENGINEERING,West Bengal,80,9827,,52,,151,,90,,90,,90,,90,,,9827
IIT Kharagpur,CHEMISTRY,BASIC SCIENCES,West Bengal,80,13511,,50,,151,,90,,90,,90,,90,,,13511
IIT Kharagpur,PHYSICS ,BASIC SCIENCES,West Bengal,80,10216,,50,,151,,100,,100,,100,,100,,,10216
IIT Kharagpur,INDUSTRIAL AND SYSTEMS ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,3918,,49,,151,,90,,90,,90,,90,,,3918
IIT Kharagpur,CIVIL ENGINEERING,CIVIL ENGINEERING,West Bengal,80,7177,,48,,151,,90,,90,,90,,90,,,7177
IIT Kharagpur,ECONOMICS,ECONOMICS,West Bengal,80,5847,,48,,151,,90,,90,,90,,90,,,5847
IIT Kharagpur,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,West Bengal,80,7325,,47,,151,,90,,90,,90,,90,,,7325
IIT Kharagpur,AGRICULTURAL AND FOOD ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,10280,,45,,151,,90,,90,,90,,90,,,10280
IIT Kharagpur,BIOTECHNOLOGY ,BIOTECHNOLOGY ,West Bengal,80,8389,,43,,151,,90,,90,,90,,90,,,8389
IIT Kharagpur,Ocean Engg and Naval Architecture,MECHANICAL ENGINEERING,West Bengal,80,9668,,43,,151,,90,,90,,90,,90,,,9668
IIT Kharagpur,AEROSPACE ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,4773,,42,,151,,90,,90,,90,,90,,,4773
IIT MADRAS,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Tamil Nadu,90,148,,105,,150,,80,,100,,100,,100,,,148
IIT MADRAS,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Tamil Nadu,90,964,,68,,150,,80,,100,,100,,100,,,964
IIT MADRAS,ENGINEERING PHYSICS ,BASIC SCIENCES,Tamil Nadu,90,1877,,68,,150,,80,,100,,100,,100,,,1877
IIT MADRAS,BIOTECHNOLOGY ,BIOTECHNOLOGY ,Tamil Nadu,90,7969,,60,,150,,80,,100,,100,,100,,,7969
IIT MADRAS,AEROSPACE ENGINEERING,MECHANICAL ENGINEERING,Tamil Nadu,90,3237,,58,,150,,80,,100,,100,,100,,,3237
IIT MADRAS,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Tamil Nadu,90,4439,,55,,150,,80,,100,,100,,100,,,4439
IIT MADRAS,ENGINEERING DESIGN,MECHANICAL ENGINEERING,Tamil Nadu,90,4436,,55,,150,,80,,100,,100,,100,,,4436
IIT MADRAS,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Tamil Nadu,90,2572,,55,,150,,80,,100,,100,,100,,,2572
IIT MADRAS,CIVIL ENGINEERING,CIVIL ENGINEERING,Tamil Nadu,90,6132,,50,,150,,80,,100,,100,,100,,,6132
IIT MADRAS,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Tamil Nadu,90,6169,,50,,150,,80,,100,,100,,100,,,6169
IIT MADRAS,Ocean Engg and Naval Architecture,MECHANICAL ENGINEERING,Tamil Nadu,90,7996,,48,,150,,80,,100,,100,,100,,,7996
IIT MANDI,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE AND ENGINEERING,Himachal Pradesh,60,4089,,81,,100,,60,,70,,70,,70,,,4089
IIT MANDI,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Himachal Pradesh,60,2909,,68,,100,,60,,70,,70,,70,,,2909
IIT MANDI,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Himachal Pradesh,60,7240,,48,,100,,60,,70,,70,,70,,,7240
IIT MANDI,BIOTECHNOLOGY,BIOTECHNOLOGY ,Himachal Pradesh,60,16085,,38,,100,,60,,70,,70,,70,,,16085
IIT MANDI,ENGINEERING PHYSICS,BASIC SCIENCES,Himachal Pradesh,60,11408,,38,,100,,60,,70,,70,,70,,,11408
IIT MANDI,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Himachal Pradesh,60,10590,,35,,100,,60,,70,,70,,70,,,10590
IIT MANDI,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Himachal Pradesh,60,17287,,28,,100,,60,,70,,70,,70,,,17287
IIT PALAKKAD,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Kerala,75,5162,,53,,50,,60,,70,,70,,70,,,5162
IIT PALAKKAD,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Kerala,75,9766,,37,,50,,60,,70,,70,,70,,,9766
IIT PALAKKAD,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Kerala,75,13086,,29,,50,,60,,70,,70,,70,,,13086
IIT PALAKKAD,CIVIL ENGINEERING,MECHANICAL ENGINEERING,Kerala,75,16487,,26,,50,,60,,70,,70,,70,,,16487
IIT PATNA,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Bihar,70,2811,,90,,256,,60,,70,,70,,70,,,2811
IIT PATNA,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Bihar,70,7539,,63,,256,,60,,70,,70,,70,,,7539
IIT PATNA,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Bihar,70,11453,,40,,256,,60,,70,,70,,70,,,11453
IIT PATNA,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Bihar,70,13933,,38,,256,,60,,70,,70,,70,,,13933
