College Name,Branch,Parent Branch,STATE,Campus,priority_campus,proximity,Placement ,priority_Placment,Coding_Culture,Priority_CC,Cultural_Activity,Priority_CA,Higher Education,priority_Higher_Edu,Brand_Value,Priority_BV,Entrepreneurship_Culture,Priority_ECell,Total,CLOSING
IIT BHUBANESHWAR,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Odisha,75,,,58,,70,,60,,70,,70,,70,,,3101
IIT BHUBANESHWAR,ELECTRONICS & COMMUNICATION ENGG.,ELECTRICAL ENGINEERING,Odisha,75,,,48,,70,,60,,70,,70,,70,,,5190
IIT BHUBANESHWAR,MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Odisha,75,,,18,,70,,60,,70,,70,,70,,,15792
IIT BOMBAY,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Maharashtra,100,,,138,,100,,100,,100,,100,,100,,,67
IIT BOMBAY,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Maharashtra,100,,,100,,100,,100,,100,,100,,100,,,481
IIT BOMBAY,CIVIL ENGINEERING,CIVIL ENGINEERING,Maharashtra,100,,,63,,100,,100,,100,,100,,100,,,4371
IIT BOMBAY,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Maharashtra,100,,,60,,100,,100,,100,,100,,100,,,1736
IIT BOMBAY,AEROSPACE ENGINEERING,MECHANICAL ENGINEERING,Maharashtra,100,,,53,,100,,100,,100,,100,,100,,,2694
IIT BOMBAY,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Maharashtra,100,,,53,,100,,100,,100,,100,,100,,,2824
IIT BOMBAY,ECONOMICS,ECONOMICS,Maharashtra,100,,,53,,100,,100,,100,,100,,100,,,2102
IIT BOMBAY,ENGINEERING PHYSICS ,BASIC SCIENCES,Maharashtra,100,,,53,,100,,100,,100,,100,,100,,,1749
IIT BOMBAY,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Maharashtra,100,,,50,,100,,100,,100,,100,,100,,,4649
IIT DHANBAD,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Jharkhand,75,,,70,,134,,70,,80,,80,,80,,,3258
IIT DHANBAD,ELECTRONICS & COMMUNICATION ENGG.,ELECTRICAL ENGINEERING,Jharkhand,75,,,56,,134,,70,,80,,80,,80,,,5821
IIT DHANBAD,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Jharkhand,75,,,52,,134,,70,,80,,80,,80,,,7784
IIT DHANBAD,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Jharkhand,75,,,46,,134,,70,,80,,80,,80,,,10262
IIT DHANBAD,ENGINEERING PHYSICS,BASIC SCIENCES,Jharkhand,75,,,42,,134,,70,,80,,80,,80,,,11979
IIT DHANBAD,ENVIRONMENTAL ENGINEERING,ENVIRONMENTAL ENGINEERING,Jharkhand,75,,,41,,134,,70,,80,,80,,80,,,15903
IIT DHANBAD,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Jharkhand,75,,,33,,134,,70,,80,,80,,80,,,12473
IIT DHANBAD,MINING ENGINEERING,MINING ENGINEERING,Jharkhand,75,,,33,,134,,70,,80,,80,,80,,,15689
IIT DHANBAD,MINERAL AND METALLURGICAL ENGINEERING,METALLURGICAL ENGINEERING,Jharkhand,75,,,31,,134,,70,,80,,80,,80,,,15373
IIT DHANBAD,CIVIL ENGINEERING,MECHANICAL ENGINEERING,Jharkhand,75,,,29,,134,,70,,80,,80,,80,,,14058
IIT DHARWAD,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Karnataka,70,,,48,,35,,60,,70,,70,,70,,,5978
IIT DHARWAD,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Karnataka,60,,,33,,35,,60,,70,,70,,70,,,10267
IIT DHARWAD,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Karnataka,60,,,24,,35,,60,,70,,70,,70,,,14010
IIT GANDHINAGAR,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Gujarat,75,,,73,,43,,60,,70,,70,,70,,,1555
IIT GANDHINAGAR,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Gujarat,75,,,45,,43,,60,,70,,70,,70,,,4803
IIT GANDHINAGAR,CIVIL ENGINEERING,MECHANICAL ENGINEERING,Gujarat,75,,,42,,43,,60,,70,,70,,70,,,11422
IIT GANDHINAGAR,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Gujarat,75,,,37,,43,,60,,70,,70,,70,,,9651
IIT GANDHINAGAR,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Gujarat,75,,,36,,43,,60,,70,,70,,70,,,7278
IIT GANDHINAGAR,MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Gujarat,75,,,34,,43,,60,,70,,70,,70,,,12299
IIT GOA,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Goa,60,,,53,,30,,60,,70,,70,,70,,,4232
IIT GOA,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Goa,60,,,43,,30,,60,,70,,70,,70,,,8909
IIT GOA,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Goa,60,,,38,,30,,60,,70,,70,,70,,,13483
IIT GOA,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE & ENGINEERING,Goa,60,,,33,,30,,60,,70,,70,,70,,,6568
IIT GUWAHATI,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Assam,80,,,92,,228,,75,,85,,85,,85,,,654
IIT GUWAHATI,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE AND ENGINEERING,Assam,80,,,79,,228,,75,,85,,85,,85,,,1124
IIT GUWAHATI,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,Assam,80,,,75,,228,,75,,85,,85,,85,,,1698
IIT GUWAHATI,ELECTRICAL AND ELECTRONIC ENGINEERING,ELECTRICAL ENGINEERING,Assam,80,,,64,,228,,75,,85,,85,,85,,,2117
IIT GUWAHATI,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Assam,80,,,54,,228,,75,,85,,85,,85,,,5959
IIT GUWAHATI,CIVIL ENGINEERING,CIVIL ENGINEERING,Assam,80,,,54,,228,,75,,85,,85,,85,,,8453
IIT GUWAHATI,ENGINEERING PHYSICS ,BASIC SCIENCES,Assam,80,,,53,,228,,75,,85,,85,,85,,,6423
IIT GUWAHATI,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Assam,80,,,51,,228,,75,,85,,85,,85,,,4754
IIT GUWAHATI,BIOTECHNOLOGY ,BIOTECHNOLOGY ,Assam,80,,,50,,228,,75,,85,,85,,85,,,10455
IIT HYDERABAD,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Telangana,70,,,81,,108,,60,,80,,80,,80,,,674
IIT HYDERABAD,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE AND ENGINEERING,Telangana,70,,,75,,108,,60,,80,,80,,80,,,1098
IIT HYDERABAD,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Telangana,70,,,71,,108,,60,,80,,80,,80,,,2310
IIT HYDERABAD,ENGINEERING SCIENCE,BASIC SCIENCES,Telangana,70,,,68,,108,,60,,80,,80,,80,,,4079
IIT HYDERABAD,ENGINEERING PHYSICS ,BASIC SCIENCES,Telangana,70,,,63,,108,,60,,80,,80,,80,,,5537
IIT HYDERABAD,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Telangana,70,,,53,,108,,60,,80,,80,,80,,,9785
IIT HYDERABAD,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Telangana,70,,,49,,108,,60,,80,,80,,80,,,4976
IIT HYDERABAD,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Telangana,70,,,47,,108,,60,,80,,80,,80,,,7123
IIT HYDERABAD,CIVIL ENGINEERING,CIVIL ENGINEERING,Telangana,70,,,39,,108,,60,,80,,80,,80,,,9303
IIT INDORE,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Madhya Pradesh,75,,,77,,240,,60,,80,,80,,80,,,1385
IIT INDORE,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Madhya Pradesh,75,,,65,,240,,60,,80,,80,,80,,,3632
IIT INDORE,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Madhya Pradesh,75,,,55,,240,,60,,80,,80,,80,,,7474
IIT INDORE,CIVIL ENGINEERING,CIVIL ENGINEERING,Madhya Pradesh,75,,,48,,240,,60,,80,,80,,80,,,10994
IIT INDORE,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL  ENGINEERING,Madhya Pradesh,75,,,46,,240,,60,,80,,80,,80,,,12217
IIT JAMMU,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Jammu and Kashmir,75,,,58,,39,,60,,70,,70,,70,,,4856
IIT JAMMU,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Jammu and Kashmir,75,,,47,,39,,60,,70,,70,,70,,,9821
IIT JAMMU,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Jammu and Kashmir,75,,,42,,39,,60,,70,,70,,70,,,16433
IIT JAMMU,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Jammu and Kashmir,75,,,38,,39,,60,,70,,70,,70,,,14589
IIT JAMMU,CIVIL ENGINEERING,MECHANICAL ENGINEERING,Jammu and Kashmir,75,,,30,,39,,60,,70,,70,,70,,,16786
IIT JODHPUR,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Rajasthan,70,,,70,,80,,60,,70,,70,,70,,,2408
IIT JODHPUR,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Rajasthan,70,,,50,,80,,60,,70,,70,,70,,,6898
IIT JODHPUR,CIVIL ENGINEERING,CIVIL ENGINEERING,Rajasthan,70,,,33,,80,,60,,70,,70,,70,,,14476
IIT JODHPUR,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Rajasthan,70,,,30,,80,,60,,70,,70,,70,,,10318
IIT KANPUR,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Uttar Pradesh,85,,,143,,230,,80,,100,,100,,100,,,238
IIT KANPUR,MATHEMATICS ,BASIC SCIENCES,Uttar Pradesh,85,,,115,,230,,80,,100,,100,,100,,,1060
IIT KANPUR,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Uttar Pradesh,85,,,78,,230,,80,,100,,100,,100,,,1349
IIT KANPUR,BIOTECHNOLOGY ,BIOTECHNOLOGY ,Uttar Pradesh,85,,,58,,230,,80,,100,,100,,100,,,8031
IIT KANPUR,AEROSPACE ENGINEERING,MECHANICAL ENGINEERING,Uttar Pradesh,85,,,55,,230,,80,,100,,100,,100,,,4027
IIT KANPUR,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Uttar Pradesh,85,,,55,,230,,80,,100,,100,,100,,,2940
IIT KANPUR,CIVIL ENGINEERING,CIVIL ENGINEERING,Uttar Pradesh,85,,,53,,230,,80,,100,,100,,100,,,6116
IIT KANPUR,EARTH SCIENCE,BASIC SCIENCES,Uttar Pradesh,85,,,50,,230,,80,,100,,100,,100,,,11426
IIT KANPUR,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Uttar Pradesh,85,,,50,,230,,80,,100,,100,,100,,,6939
IIT KANPUR,CHEMISTRY,BASIC SCIENCES,Uttar Pradesh,85,,,48,,230,,80,,100,,100,,100,,,11824
IIT KANPUR,ECONOMICS,ECONOMICS,Uttar Pradesh,85,,,48,,230,,80,,100,,100,,100,,,3653
IIT KANPUR,PHYSICS ,BASIC SCIENCES,Uttar Pradesh,85,,,33,,230,,80,,100,,100,,100,,,6153
IIT Kharagpur,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,West Bengal,80,,,108,,151,,90,,90,,90,,90,,,279
IIT Kharagpur,MATHEMATICS ,BASIC SCIENCES,West Bengal,80,,,98,,151,,90,,90,,90,,90,,,1416
IIT Kharagpur,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,West Bengal,80,,,72,,151,,90,,90,,90,,90,,,1205
IIT Kharagpur,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,West Bengal,80,,,63,,151,,90,,90,,90,,90,,,1833
IIT Kharagpur,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,,,56,,151,,90,,90,,90,,90,,,3294
IIT Kharagpur,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,,,54,,151,,90,,90,,90,,90,,,4944
IIT Kharagpur,GEOLOGY & GEOPHYSICS ,BASIC SCIENCES,West Bengal,80,,,54,,151,,90,,90,,90,,90,,,12385
IIT Kharagpur,MINING ENGINEERING,METALLURGICAL ENGINEERING,West Bengal,80,,,52,,151,,90,,90,,90,,90,,,9827
IIT Kharagpur,CHEMISTRY,BASIC SCIENCES,West Bengal,80,,,50,,151,,90,,90,,90,,90,,,13511
IIT Kharagpur,PHYSICS ,BASIC SCIENCES,West Bengal,80,,,50,,151,,100,,100,,100,,100,,,10216
IIT Kharagpur,INDUSTRIAL AND SYSTEMS ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,,,49,,151,,90,,90,,90,,90,,,3918
IIT Kharagpur,CIVIL ENGINEERING,CIVIL ENGINEERING,West Bengal,80,,,48,,151,,90,,90,,90,,90,,,7177
IIT Kharagpur,ECONOMICS,ECONOMICS,West Bengal,80,,,48,,151,,90,,90,,90,,90,,,5847
IIT Kharagpur,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,West Bengal,80,,,47,,151,,90,,90,,90,,90,,,7325
IIT Kharagpur,AGRICULTURAL AND FOOD ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,,,45,,151,,90,,90,,90,,90,,,10280
IIT Kharagpur,BIOTECHNOLOGY ,BIOTECHNOLOGY ,West Bengal,80,,,43,,151,,90,,90,,90,,90,,,8389
IIT Kharagpur,Ocean Engg and Naval Architecture,MECHANICAL ENGINEERING,West Bengal,80,,,43,,151,,90,,90,,90,,90,,,9668
IIT Kharagpur,AEROSPACE ENGINEERING,MECHANICAL ENGINEERING,West Bengal,80,,,42,,151,,90,,90,,90,,90,,,4773
IIT MADRAS,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Tamil Nadu,90,,,105,,150,,80,,100,,100,,100,,,148
IIT MADRAS,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Tamil Nadu,90,,,68,,150,,80,,100,,100,,100,,,964
IIT MADRAS,ENGINEERING PHYSICS ,BASIC SCIENCES,Tamil Nadu,90,,,68,,150,,80,,100,,100,,100,,,1877
IIT MADRAS,BIOTECHNOLOGY ,BIOTECHNOLOGY ,Tamil Nadu,90,,,60,,150,,80,,100,,100,,100,,,7969
IIT MADRAS,AEROSPACE ENGINEERING,MECHANICAL ENGINEERING,Tamil Nadu,90,,,58,,150,,80,,100,,100,,100,,,3237
IIT MADRAS,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Tamil Nadu,90,,,55,,150,,80,,100,,100,,100,,,4439
IIT MADRAS,ENGINEERING DESIGN,MECHANICAL ENGINEERING,Tamil Nadu,90,,,55,,150,,80,,100,,100,,100,,,4436
IIT MADRAS,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Tamil Nadu,90,,,55,,150,,80,,100,,100,,100,,,2572
IIT MADRAS,CIVIL ENGINEERING,CIVIL ENGINEERING,Tamil Nadu,90,,,50,,150,,80,,100,,100,,100,,,6132
IIT MADRAS,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Tamil Nadu,90,,,50,,150,,80,,100,,100,,100,,,6169
IIT MADRAS,Ocean Engg and Naval Architecture,MECHANICAL ENGINEERING,Tamil Nadu,90,,,48,,150,,80,,100,,100,,100,,,7996
IIT MANDI,DATA SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Himachal Pradesh,60,,,81,,100,,60,,70,,70,,70,,,4089
IIT MANDI,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Himachal Pradesh,60,,,68,,100,,60,,70,,70,,70,,,2909
IIT MANDI,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Himachal Pradesh,60,,,48,,100,,60,,70,,70,,70,,,7240
IIT MANDI,BIOTECHNOLOGY,BIOTECHNOLOGY,Himachal Pradesh,60,,,38,,100,,60,,70,,70,,70,,,16085
IIT MANDI,ENGINEERING PHYSICS,BASIC SCIENCES,Himachal Pradesh,60,,,38,,100,,60,,70,,70,,70,,,11408
IIT MANDI,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Himachal Pradesh,60,,,35,,100,,60,,70,,70,,70,,,10590
IIT MANDI,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Himachal Pradesh,60,,,28,,100,,60,,70,,70,,70,,,17287
IIT PALAKKAD,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Kerala,75,,,53,,50,,60,,70,,70,,70,,,5162
IIT PALAKKAD,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Kerala,75,,,37,,50,,60,,70,,70,,70,,,9766
IIT PALAKKAD,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Kerala,75,,,29,,50,,60,,70,,70,,70,,,13086
IIT PALAKKAD,CIVIL ENGINEERING,MECHANICAL ENGINEERING,Kerala,75,,,26,,50,,60,,70,,70,,70,,,16487
IIT PATNA,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Bihar,70,,,90,,256,,60,,70,,70,,70,,,2811
IIT PATNA,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Bihar,70,,,63,,256,,60,,70,,70,,70,,,7539
IIT PATNA,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Bihar,70,,,40,,256,,60,,70,,70,,70,,,11453
IIT PATNA,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Bihar,70,,,38,,256,,60,,70,,70,,70,,,13933
IIT PATNA,CIVIL ENGINEERING,CIVIL ENGINEERING,Bihar,70,,,31,,256,,60,,70,,70,,70,,,15295
IIT PATNA,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Bihar,70,,,30,,256,,60,,70,,70,,70,,,16253
IIT ROORKEE,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Uttarakhand,80,,,80,,270,,80,,80,,80,,80,,,412
IIT ROORKEE,MATHEMATICS ,BASIC SCIENCES,Uttarakhand,80,,,75,,270,,80,,80,,80,,80,,,1523
IIT ROORKEE,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,Uttarakhand,80,,,65,,270,,80,,80,,80,,80,,,1429
IIT ROORKEE,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Uttarakhand,80,,,63,,270,,80,,80,,80,,80,,,2037
IIT ROORKEE,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Uttarakhand,80,,,53,,270,,80,,80,,80,,80,,,7945
IIT ROORKEE,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Uttarakhand,80,,,48,,270,,80,,80,,80,,80,,,5015
IIT ROORKEE,CIVIL ENGINEERING,CIVIL ENGINEERING,Uttarakhand,80,,,48,,270,,80,,80,,80,,80,,,7100
IIT ROORKEE,ENGINEERING PHYSICS ,BASIC SCIENCES,Uttarakhand,80,,,48,,270,,80,,80,,80,,80,,,4535
IIT ROORKEE,PRODUCTION ENGINEERING,MECHANICAL ENGINEERING,Uttarakhand,80,,,48,,270,,80,,80,,80,,80,,,5880
IIT ROORKEE,EARTH SCIENCE,BASIC SCIENCES,Uttarakhand,80,,,48,,270,,80,,80,,80,,80,,,9824
IIT ROORKEE,BIOTECHNOLOGY,BIOTECHNOLOGY,Uttarakhand,80,,,43,,270,,80,,80,,80,,80,,,8689
IIT ROORKEE,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Uttarakhand,80,,,43,,270,,80,,80,,80,,80,,,3854
IIT ROORKEE,CHEMISTRY,BASIC SCIENCES,Uttarakhand,80,,,25,,270,,80,,80,,80,,80,,,12928
IIT ROPAR,MATHEMATICS AND COMPUTING,COMPUTER SCIENCE AND ENGINEERING,Punjab,75,,,77,,128,,60,,70,,70,,70,,,3082
IIT ROPAR,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Punjab,70,,,70,,128,,60,,70,,70,,70,,,5832
IIT ROPAR,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Punjab,70,,,58,,128,,60,,70,,70,,70,,,8926
IIT ROPAR,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Punjab,70,,,45,,128,,60,,70,,70,,70,,,11041
IIT ROPAR,CIVIL ENGINEERING,CIVIL ENGINEERING,Punjab,70,,,43,,128,,60,,70,,70,,70,,,13078
IIT ROPAR,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Punjab,70,,,36,,128,,60,,70,,70,,70,,,1859
IIT TIRUPATI,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Andhra Pradesh,75,,,63,,78,,60,,70,,70,,70,,,3701
IIT TIRUPATI,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Andhra Pradesh,75,,,41,,78,,60,,70,,70,,70,,,8826
IIT TIRUPATI,CIVIL ENGINEERING,MECHANICAL ENGINEERING,Andhra Pradesh,75,,,33,,78,,60,,70,,70,,70,,,16658
IIT TIRUPATI,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Andhra Pradesh,75,,,31,,78,,60,,70,,70,,70,,,14593
IIT TIRUPATI,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Andhra Pradesh,75,,,31,,78,,60,,70,,70,,70,,,12150
